3939,288-0,985
3879,519-0,991
3819,749-0,991
3759,980-0,987
3700,211-0,977
3640,442-0,979
3580,673-0,991
3520,904-0,993
3461,135-0,989
3401,365-0,984
3341,596-0,990
3281,827-0,995
3222,058-0,996
3165,006-0,994
3135,121-0,961
3129,688-0,941
3129,688-0,917
3129,688-0,893
3126,971-0,860
3127,876-0,833
3124,254-0,802
3124,254-0,778
3124,254-0,755
3124,254-0,731
3124,254-0,707
3124,254-0,683
3124,254-0,659
3121,537-0,634
3122,443-0,605
3118,820-0,586
3118,820-0,562
3118,820-0,538
3118,820-0,514
3118,820-0,490
3118,820-0,466
3118,820-0,442
3117,009-0,411
3113,387-0,392
3113,387-0,358
3105,236-0,327
3080,785-0,263
3069,239-0,229
3052,712-0,191
3059,051-0,173
3028,261-0,341
3031,883-0,314
3031,883-0,291
3031,883-0,256
3022,828-0,515
3026,450-0,497
3026,450-0,473
3026,450-0,449
3026,450-0,425
3026,450-0,401
3026,450-0,377
3016,941-0,711
3021,016-0,690
3021,016-0,666
3021,016-0,642
3021,016-0,618
3021,016-0,594
3021,016-0,570
3021,016-0,546
3012,866-0,850
3015,583-0,826
3015,583-0,802
3015,583-0,778
3015,583-0,755
3007,432-0,928
3010,149-0,898
3010,149-0,874
3001,999-0,964
2966,681-0,987
2923,212-0,975
2879,744-0,958
2819,975-0,976
2760,206-0,997
2700,436-0,994
2640,667-0,984
2580,898-0,984
2521,129-0,990
2461,360-0,988
2401,591-0,983
2366,273-0,987
2332,041-0,958
2320,087-0,941
2271,185-0,984
2211,416-0,974
2151,647-0,984
2091,878-0,983
2032,109-0,977
1991,357-0,966
1951,382-0,820
1896,270-0,963
1888,421-0,973
1847,368-0,969
1836,501-0,948
1834,689-0,915
1818,841-0,835
1799,824-0,805
1814,766-0,769
1810,691-0,749
1801,182-0,731
1774,015-0,925
1741,413-0,959
1684,361-0,966
1624,592-0,968
1570,256-0,970
1543,088-0,939
1537,655-0,910
1532,221-0,880
1524,071-0,856
1515,921-0,833
1514,109-0,801
1510,487-0,706
1473,811-0,650
1490,926-0,605
1486,942-0,573
1480,602-0,549
1480,602-0,525
1481,508-0,499
1452,529-0,874
1456,151-0,846
1456,151-0,822
1450,718-0,909
1422,343-0,966
1374,648-0,946
1331,180-0,978
1271,410-0,978
1211,641-0,975
1151,872-0,982
1097,537-0,979
1070,369-0,948
1068,558-0,916
1064,935-0,889
1044,288-0,790
1035,051-0,767
1030,976-0,736
1035,051-0,709
1035,051-0,685
1035,051-0,661
1034,145-0,631
1037,767-0,607
1002,449-0,911
1005,166-0,883
1005,166-0,859
997,016-0,947
961,698-0,977
901,928-0,981
842,159-0,981
782,390-0,967
780,579-0,932
734,264-0,970
717,188-0,948
717,188-0,924
715,376-0,887
711,754-0,857
711,754-0,833
711,754-0,809
711,754-0,785
711,754-0,761
709,037-0,728
709,037-0,704
709,037-0,680
706,320-0,646
706,320-0,622
706,320-0,599
706,320-0,575
706,320-0,551
706,320-0,527
706,320-0,503
706,320-0,479
703,604-0,452
703,604-0,428
703,604-0,404
675,077-0,294
675,077-0,270
671,908-0,250
671,908-0,226
676,436-0,203
673,719-0,177
670,755-0,149
670,614-0,119
671,908-0,096
685,362-0,070
671,908-0,044
637,495-0,635
638,401-0,604
638,401-0,584
641,118-0,559
641,118-0,536
641,118-0,512
641,118-0,488
641,118-0,464
641,118-0,440
641,118-0,416
641,118-0,392
641,118-0,369
641,118-0,336
631,609-0,816
635,684-0,792
635,684-0,768
635,684-0,744
635,684-0,720
635,684-0,696
635,684-0,672
627,534-0,916
630,251-0,885
630,251-0,861
597,649-0,959
540,053-0,959
479,130-0,951
476,300-0,926
3922,297-0,978
3911,036-0,993
3894,144-0,987
3860,360-0,984
3843,468-0,998
3832,207-0,984
3792,793-0,987
3775,901-1,002
3730,856-0,989
3708,333-0,971
3691,441-0,971
3685,811-0,980
3663,288-0,975
3100,225-0,272
3088,964-0,247
3088,964-0,211
3072,072-0,299
3066,441-0,249
3066,441-0,202
3060,811-0,162
3038,288-0,225
2897,523-0,933
2858,108-0,975
2604,730-0,973
2559,685-0,989
2435,811-0,982
2373,874-0,998
2356,982-0,957
2345,721-0,973
2306,306-0,960
2300,676-0,975
2238,739-0,984
2188,063-0,982
1979,730-0,930
1974,099-0,885
1974,099-0,856
1968,468-0,818
1951,577-0,804
1934,685-0,858
1923,423-0,901
1929,054-0,933
1833,333-0,883
1822,072-0,798
1822,072-0,753
1793,919-0,769
1782,658-0,843
1788,288-0,890
1760,135-0,957
1748,874-0,944
1726,351-0,975
1726,351-0,960
1715,090-0,975
1703,829-0,957
1686,937-0,957
1664,414-0,966
1658,784-0,960
1641,892-0,969
1613,739-0,969
1596,847-0,975
1591,216-0,978
1557,432-0,957
1512,387-0,764
1506,757-0,672
1506,757-0,640
1501,126-0,582
1495,495-0,560
1489,865-0,620
1478,604-0,483
1472,973-0,575
1467,342-0,598
1461,712-0,697
1456,081-0,766
1444,820-0,935
1405,405-0,953
1399,775-0,939
1365,991-0,962
1061,937-0,854
1067,568-0,820
1061,937-0,800
1050,676-0,762
1045,045-0,822
1033,784-0,593
1028,153-0,753
1016,892-0,739
1016,892-0,780
1005,631-0,820
797,297-0,960
791,667-0,984
780,405-0,946
780,405-0,921
769,144-0,964
701,577-0,353
701,577-0,297
695,946-0,207
695,946-0,151
695,946-0,103
695,946-0,056
650,901-0,090
650,901-0,157
645,270-0,187
645,270-0,247
634,009-0,310
622,748-0,942
588,964-0,975
572,072-0,948
555,180-0,969
555,180-0,946
538,288-0,984
521,396-0,966
521,396-0,948
493,243-0,915
487,613-0,984
481,982-0,966
465,090-0,957
