3936,107-0,966
3876,402-0,969
3816,696-0,969
3756,991-0,969
3697,286-0,968
3637,581-0,968
3577,876-0,969
3518,171-0,969
3458,465-0,969
3398,760-0,969
3339,055-0,970
3279,350-0,970
3219,645-0,970
3159,940-0,970
3100,234-0,971
3040,529-0,971
2980,824-0,971
2921,119-0,971
2861,414-0,971
2801,708-0,971
2742,003-0,971
2682,298-0,969
2622,593-0,966
2562,888-0,963
2503,183-0,960
2443,477-0,957
2383,772-0,958
2324,067-0,952
2264,362-0,949
2215,512-0,946
2172,090-0,923
2112,385-0,940
2052,680-0,940
1992,975-0,938
1933,269-0,937
1873,564-0,936
1813,859-0,936
1754,154-0,938
1696,536-0,939
1634,744-0,932
1573,368-0,923
1556,041-0,971
1556,041-0,951
1553,327-0,892
1553,327-0,873
1553,327-0,853
1553,327-0,833
1553,327-0,813
1553,327-0,794
1553,327-0,774
1490,004-0,817
1493,622-0,799
1493,622-0,779
1493,622-0,760
1493,622-0,734
1485,481-0,865
1488,194-0,842
1480,053-0,889
1455,628-0,923
1421,511-0,933
1368,784-0,931
1309,079-0,930
1249,374-0,930
1189,669-0,932
1129,963-0,934
1070,258-0,937
1010,553-0,939
950,848-0,942
891,143-0,942
831,437-0,945
771,732-0,948
712,027-0,951
652,322-0,952
592,617-0,960
533,364-0,956
472,371-0,955
489,490-0,935
448,782-0,991
1552,147-0,738
1547,035-0,611
1547,035-0,591
1547,035-0,557
1557,260-0,522
1547,035-0,501
1547,035-0,486
1547,035-0,471
1547,035-0,422
1547,035-0,400
1547,035-0,381
1541,922-0,363
1552,147-0,334
1552,147-0,316
1547,035-0,292
1541,922-0,255
1552,147-0,219
1536,810-0,196
1531,697-0,231
1526,585-0,214
1526,585-0,270
1516,360-0,314
1511,247-0,344
1511,247-0,381
1506,135-0,405
1506,135-0,420
1506,135-0,449
1506,135-0,471
1506,135-0,513
1506,135-0,538
1506,135-0,569
1506,135-0,592
1506,135-0,623
1501,022-0,636
1501,022-0,662
1501,022-0,687
1490,798-0,721
1557,260-0,677
2196,319-0,920
2196,319-0,930
2180,982-0,915
2150,307-0,932
2196,319-0,937
